seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
101,606.646,812.901,12,6,22.079,0.941,0.913,
120,119.408,161.523,4,2,29.212,0.983,0.974,
39,606.654,812.913,4,2,4.24,0.949,0.926,
21,6.64,7.965,0,0,0.669,1.0,1.0,
99,20.759,27.685,6,4,8.833,0.96,0.94,
231,606.672,812.931,108,54,58.359,0.866,0.796,
115,290.466,394.647,4,2,23.061,0.983,0.973,
151,603.088,808.095,6,4,48.453,0.974,0.96,
101,606.384,739.963,12,6,22.079,0.941,0.913,
92,8.538,11.326,8,4,9.204,0.957,0.936,
103,606.472,740.077,28,10,17.305,0.903,0.863,
91,7.491,9.994,8,4,8.038,0.956,0.935,
76,606.427,740.019,12,2,43.381,0.974,0.958,
161,607.656,741.261,18,4,23.608,0.975,0.963,
108,606.304,739.877,4,2,16.131,0.981,0.973,
76,120.907,168.823,8,4,32.816,0.947,0.914,
119,138.927,189.58,4,3,17.023,0.966,0.949,
91,606.316,773.782,12,6,53.088,0.934,0.901,
45,7.562,9.753,8,4,6.343,0.911,0.874,
85,606.434,773.92,40,28,32.356,0.6,0.416,
106,606.422,773.904,6,2,23.136,0.981,0.972,
360,606.61,774.097,286,172,154.559,0.481,0.171,
115,606.169,773.601,16,8,52.217,0.93,0.89,
25,6.489,7.781,4,4,2.312,0.84,0.758,
33,6.442,7.649,0,0,0.622,1.0,1.0,
38,8.047,10.317,8,4,20.712,0.895,0.854,
38,7.306,9.293,8,4,8.926,0.895,0.847,
120,172.201,216.64,6,4,60.017,0.967,0.95,
369,606.621,732.3,364,191,153.217,0.442,0.144,
59,606.234,731.91,8,4,6.512,0.932,0.903,
21,6.7,8.207,8,4,1.626,0.81,0.745,
112,71.353,91.756,4,2,27.794,0.982,0.973,
349,607.022,757.267,252,157,171.126,0.499,0.212,
349,606.914,757.158,282,174,173.522,0.401,0.102,
103,606.229,756.388,28,10,17.229,0.903,0.863,
76,606.808,757.036,8,4,33.822,0.947,0.915,
108,606.843,757.084,8,6,10.169,0.944,0.916,
109,606.278,756.444,24,14,14.78,0.872,0.807,
39,6.365,7.792,8,4,5.252,0.897,0.856,
89,606.72,756.934,4,3,26.74,0.955,0.933,
109,7.39,9.843,4,2,6.863,0.982,0.972,
76,74.374,102.407,8,4,24.08,0.947,0.919,
182,606.661,795.966,8,4,57.965,0.978,0.966,
360,606.482,795.776,300,166,179.75,0.422,0.111,
110,606.354,795.646,28,14,27.782,0.855,0.784,
258,606.745,796.068,144,76,106.204,0.659,0.484,
177,606.684,795.999,16,8,48.034,0.955,0.928,
169,606.699,796.02,28,13,36.87,0.917,0.877,
360,607.085,749.206,310,185,180.363,0.414,0.059,
98,64.311,89.551,4,2,30.07,0.98,0.969,
119,62.162,86.595,8,4,23.008,0.966,0.95,
86,606.333,748.388,12,4,7.751,0.953,0.932,
19,6.433,7.663,8,4,1.144,0.789,0.727,
215,606.928,749.047,18,10,105.736,0.953,0.914,
100,194.602,262.589,4,2,17.962,0.98,0.97,
122,606.853,748.95,8,4,23.061,0.967,0.949,
363,606.771,771.177,324,191,182.194,0.402,0.061,
115,606.49,770.874,44,25,45.087,0.765,0.627,
62,606.341,770.706,4,2,22.08,0.968,0.953,
70,606.491,770.878,12,2,2.781,0.971,0.958,
51,606.53,770.928,8,6,7.673,0.882,0.648,
66,606.481,770.867,16,4,25.467,0.939,0.906,
369,606.619,771.022,206,131,118.918,0.629,0.445,
37,8.011,10.426,4,2,6.012,0.946,0.922,
71,126.275,171.276,8,4,17.827,0.944,0.916,
128,606.826,755.366,94,45,67.238,0.75,0.634,
59,606.702,755.237,12,6,6.312,0.898,0.858,
104,252.89,329.676,8,4,11.513,0.962,0.944,
47,606.067,754.557,4,2,4.163,0.957,0.938,
169,606.879,755.419,8,4,40.158,0.976,0.963,
78,606.877,755.417,28,16,11.645,0.821,0.739,
29,6.237,7.186,0,0,0.304,1.0,1.0,
104,7.244,9.43,8,3,9.34,0.962,0.943,
84,606.17,782.683,10,2,15.67,0.976,0.964,
363,606.53,783.082,316,195,198.059,0.394,0.028,
37,6.616,8.287,4,2,3.336,0.946,0.921,
75,26.387,35.643,4,2,28.374,0.973,0.957,
29,6.494,7.846,4,2,2.357,0.931,0.901,
28,6.854,8.902,4,2,7.445,0.929,0.889,
120,606.241,782.787,12,6,25.484,0.95,0.924,
177,606.682,746.958,16,10,50.103,0.944,0.909,
74,606.83,747.108,26,12,41.248,0.838,0.671,
41,6.503,7.9,4,2,3.668,0.951,0.928,
71,67.649,94.925,0,0,12.641,1.0,1.0,
14,6.423,7.587,0,0,1.025,1.0,1.0,
133,607.503,747.78,8,4,31.224,0.97,0.955,
85,38.832,54.215,0,0,43.14,1.0,1.0,
120,172.907,240.787,2,2,21.684,0.983,0.975,
71,606.486,828.507,12,2,20.416,0.972,0.957,
206,606.659,828.736,64,39,86.51,0.806,0.708,
74,606.743,828.835,36,18,80.622,0.757,,
76,606.731,828.823,12,2,6.001,0.974,0.96,
118,606.575,828.624,16,9,44.904,0.915,0.853,
61,12.471,16.971,8,4,5.962,0.934,0.906,
129,605.944,827.787,16,10,11.111,0.922,0.883,
76,44.679,63.136,8,4,13.932,0.947,0.92,
75,606.501,751.025,12,2,21.28,0.973,0.959,
45,6.597,8.108,6,4,7.083,0.911,0.869,
37,606.484,751.007,4,2,12.994,0.946,0.901,
349,606.605,751.13,282,148,173.944,0.524,0.249,
58,53.539,72.878,8,4,10.196,0.931,0.902,
46,40.307,55.224,8,4,15.334,0.913,0.854,
142,606.434,750.952,16,4,25.799,0.972,0.958,
107,7.026,9.211,8,4,16.218,0.963,0.945,
119,606.395,831.778,46,12,57.031,0.899,0.859,
111,606.523,831.929,12,6,89.749,0.946,0.833,
115,183.872,257.128,8,4,22.259,0.965,0.948,
27,6.407,7.612,4,2,2.253,0.926,0.892,
73,9.322,12.54,8,4,23.265,0.945,0.92,
114,606.529,831.935,16,8,89.485,0.93,0.839,
192,606.562,831.975,78,43,101.165,0.781,0.679,
81,606.535,831.947,36,22,6.247,0.802,0.713,
42,6.362,7.352,4,2,4.13,0.952,0.927,
161,606.468,822.056,70,26,37.416,0.845,0.777,
90,48.6,66.523,8,4,16.916,0.956,0.935,
100,158.009,213.989,4,4,12.613,0.96,0.94,
392,606.436,822.014,224,127,173.419,0.696,0.555,
