seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc
119,0.157,0.017,44,25,24.579,0.782,0.694
45,0.124,0.018,12,8,11.243,0.822,0.733
106,0.156,0.018,50,31,34.415,0.642,0.461
115,0.157,0.019,82,54,60.799,0.409,0.101
25,0.116,0.01,0,0,3.22,1.0,1.0
33,0.114,0.009,2,2,2.561,0.939,0.908
38,0.118,0.009,18,9,19.228,0.737,0.608
38,0.113,0.01,16,12,7.5,0.684,0.497
120,0.155,0.018,86,44,58.577,0.583,0.382
59,0.126,0.011,6,4,8.381,0.932,0.899
21,0.118,0.011,2,2,3.029,0.81,0.714
349,0.225,0.017,264,164,177.619,0.479,0.234
103,0.157,0.02,42,26,30.358,0.718,0.586
108,0.161,0.019,62,34,28.142,0.639,0.458
109,0.147,0.012,12,8,12.49,0.927,0.888
39,0.121,0.011,0,0,0.785,1.0,1.0
109,0.168,0.019,28,18,18.275,0.817,0.718
182,0.172,0.018,152,84,95.855,0.478,0.187
110,0.158,0.021,46,27,16.288,0.727,0.596
177,0.172,0.023,156,105,108.944,0.266,-0.12
360,0.229,0.023,358,195,171.737,0.461,0.211
119,0.148,0.017,46,26,26.271,0.765,0.679
86,0.14,0.011,40,25,23.003,0.628,0.442
19,0.113,0.009,2,2,3.168,0.895,0.84
100,0.152,0.018,50,33,35.156,0.67,0.502
363,0.219,0.023,362,213,193.331,0.364,0.069
115,0.153,0.019,64,48,47.89,0.443,0.15
70,0.144,0.017,42,23,26.192,0.686,0.528
66,0.137,0.019,52,26,29.833,0.576,0.396
37,0.119,0.009,6,4,6.751,0.892,0.841
71,0.129,0.011,18,12,23.898,0.831,0.746
128,0.163,0.02,100,56,69.678,0.438,0.157
78,0.14,0.017,76,44,38.526,0.462,0.199
29,0.116,0.011,0,0,0.532,1.0,1.0
104,0.145,0.014,10,6,11.764,0.942,0.913
84,0.139,0.018,70,40,43.349,0.5,0.242
37,0.122,0.012,4,2,3.492,0.946,0.921
75,0.131,0.011,70,38,46.879,0.387,0.058
29,0.117,0.011,0,0,0.491,1.0,1.0
28,0.11,0.009,4,4,5.274,0.786,0.632
177,0.177,0.022,128,74,68.133,0.616,0.45
71,0.125,0.011,60,34,39.941,0.521,0.246
14,0.107,0.008,4,2,1.732,0.857,0.795
85,0.128,0.014,56,30,46.264,0.624,0.437
71,0.138,0.016,64,38,33.542,0.465,0.172
74,0.123,0.015,70,36,46.149,0.527,0.192
118,0.155,0.019,90,56,39.286,0.483,0.279
129,0.168,0.02,38,24,27.34,0.791,0.684
75,0.135,0.018,30,18,16.287,0.76,0.642
45,0.119,0.009,4,3,7.764,0.911,0.869
37,0.12,0.011,24,12,18.573,0.676,0.557
349,0.243,0.021,296,183,179.3,0.444,0.171
142,0.163,0.021,82,47,44.193,0.676,0.53
119,0.159,0.017,94,51,53.444,0.58,0.37
115,0.152,0.02,50,32,36.65,0.713,0.602
27,0.118,0.011,0,0,1.185,1.0,1.0
73,0.133,0.011,36,21,22.408,0.712,0.558
192,0.202,0.025,176,101,64.155,0.474,0.217
42,0.129,0.016,4,2,4.142,0.952,0.927
90,0.15,0.017,64,42,42.382,0.433,0.166
100,0.151,0.019,44,24,34.251,0.74,0.613
331,0.216,0.024,248,136,123.047,0.535,0.336
115,0.148,0.018,84,45,45.029,0.461,0.164
35,0.123,0.011,10,8,12.542,0.771,0.639
125,0.144,0.012,70,39,29.2,0.704,0.559
75,0.136,0.016,60,31,28.271,0.64,0.481
103,0.147,0.018,76,52,39.412,0.466,0.203
102,0.148,0.018,42,24,27.099,0.745,0.646
233,0.198,0.014,166,94,96.139,0.545,0.317
34,0.119,0.011,14,7,6.337,0.765,0.675
182,0.17,0.02,88,56,54.478,0.665,0.51
71,0.126,0.016,42,22,34.883,0.62,0.42
392,0.268,0.023,328,186,231.209,0.454,0.18
341,0.237,0.021,274,155,143.591,0.469,0.205
266,0.186,0.021,182,124,126.806,0.447,0.203
127,0.155,0.019,42,22,35.446,0.827,0.749
61,0.124,0.016,60,30,24.186,0.508,0.268
155,0.181,0.022,38,18,48.484,0.884,0.835
215,0.188,0.022,136,80,98.84,0.581,0.363
114,0.138,0.017,88,59,64.066,0.43,0.085
29,0.121,0.011,8,4,4.491,0.862,0.809
87,0.136,0.012,84,53,51.023,0.379,0.061
34,0.118,0.009,28,15,14.278,0.529,0.142
242,0.19,0.014,300,162,163.66,0.36,0.056
258,0.191,0.015,190,117,130.315,0.578,0.378
28,0.118,0.01,8,6,6.651,0.786,0.681
118,0.144,0.013,80,36,36.13,0.669,0.477
29,0.12,0.009,2,2,1.609,0.931,0.89
392,0.269,0.022,312,191,202.901,0.469,0.206
127,0.153,0.014,52,30,42.803,0.732,0.606
184,0.172,0.018,150,93,75.567,0.505,0.27
121,0.146,0.014,90,57,60.417,0.479,0.217
38,0.116,0.01,20,18,19.448,0.526,0.291
70,0.136,0.018,30,18,17.309,0.714,0.586
39,0.119,0.011,8,6,5.928,0.846,0.763
83,0.137,0.014,68,40,42.575,0.41,0.128
34,0.118,0.012,8,6,4.335,0.824,0.739
121,0.144,0.012,48,32,34.343,0.719,0.594
59,0.136,0.024,46,25,19.329,0.644,0.47
59,0.136,0.024,46,25,19.329,0.644,0.47
120,0.141,0.011,70,42,38.049,0.5,0.246
28,0.121,0.01,0,0,0.138,1.0,1.0
78,0.141,0.02,20,12,11.776,0.846,0.773
49,0.14,0.019,34,23,24.327,0.49,0.239
91,0.139,0.014,32,18,23.974,0.791,0.698
37,0.121,0.011,2,2,1.322,0.946,0.915
36,0.123,0.01,20,10,13.355,0.722,0.642
38,0.133,0.011,12,8,11.563,0.789,0.687
111,0.154,0.021,46,29,27.278,0.712,0.582
119,0.159,0.021,52,35,39.042,0.689,0.535
72,0.134,0.017,32,18,20.437,0.778,0.664
76,0.15,0.021,62,32,19.229,0.553,0.361
43,0.139,0.016,4,2,0.674,0.953,0.931
78,0.141,0.018,16,8,13.359,0.897,0.846
190,0.184,0.02,182,107,79.258,0.437,0.164
73,0.126,0.011,22,9,27.288,0.863,0.791
30,0.119,0.009,4,4,3.737,0.867,0.792
119,0.148,0.018,48,31,41.755,0.714,0.587
188,0.211,0.023,140,72,61.797,0.452,0.178
45,0.136,0.02,24,16,17.75,0.644,0.471
120,0.154,0.019,62,44,53.479,0.525,0.301
32,0.119,0.011,4,3,5.833,0.875,0.815
111,0.139,0.011,46,28,31.647,0.712,0.569
126,0.164,0.023,98,61,67.81,0.5,0.25
74,0.135,0.018,68,34,28.384,0.568,0.374
120,0.17,0.025,76,45,54.369,0.558,0.339
95,0.148,0.018,102,58,53.134,0.379,0.096
65,0.141,0.017,18,7,17.823,0.877,0.816
206,0.2,0.022,184,111,98.173,0.408,0.111
120,0.158,0.016,44,24,59.233,0.783,0.692
377,0.249,0.022,300,189,188.651,0.416,0.149
53,0.132,0.018,34,18,17.364,0.491,0.235
215,0.18,0.02,168,95,107.72,0.544,0.339
56,0.136,0.016,12,10,13.141,0.821,0.727
188,0.183,0.014,140,82,88.127,0.5,0.25
17,0.115,0.011,6,4,5.068,0.765,0.603
118,0.162,0.02,68,51,54.846,0.466,0.206
20,0.113,0.009,4,2,4.047,0.9,0.86
184,0.156,0.013,148,90,88.004,0.446,0.207
102,0.147,0.019,22,16,30.012,0.784,0.675
29,0.116,0.01,4,3,3.761,0.862,0.78
231,0.189,0.015,130,72,93.524,0.628,0.445
48,0.126,0.017,18,16,20.763,0.625,0.438
184,0.166,0.021,126,80,87.775,0.408,0.085
47,0.133,0.019,10,7,7.303,0.83,0.738
27,0.118,0.01,10,8,9.128,0.704,0.559
28,0.108,0.008,12,7,4.104,0.714,0.563
67,0.14,0.019,56,30,21.317,0.552,0.426
192,0.189,0.014,120,72,101.814,0.562,0.341
121,0.181,0.022,66,40,43.405,0.636,0.46
360,0.204,0.019,348,215,188.48,0.381,0.05
27,0.12,0.013,4,2,2.54,0.926,0.894
49,0.125,0.01,20,10,8.027,0.796,0.708
93,0.135,0.011,74,46,39.136,0.527,0.289
195,0.195,0.022,70,43,66.016,0.749,0.633
64,0.135,0.012,42,25,30.841,0.531,0.274
233,0.201,0.021,182,91,109.794,0.541,0.311
75,0.131,0.018,66,33,18.962,0.547,0.365
33,0.115,0.01,20,13,13.479,0.576,0.354
118,0.143,0.011,70,37,53.4,0.703,0.555
369,0.227,0.015,244,144,136.358,0.515,0.296
34,0.117,0.01,4,2,4.942,0.941,0.915
126,0.17,0.023,68,44,43.348,0.603,0.408
55,0.126,0.01,22,15,20.206,0.673,0.508
27,0.127,0.011,2,2,2.081,0.926,0.883
83,0.156,0.021,32,14,25.524,0.807,0.706
198,0.189,0.021,140,84,98.915,0.5,0.264
136,0.163,0.022,26,16,16.997,0.868,0.807
215,0.184,0.019,166,93,78.82,0.516,0.312
